geneName,Exp_Bias,geneID_sgA,ATAC PEAK_MEAN_sgA,H3K27ac PEAK_MEAN_sgA,H3K4me3 PEAK_MEAN_sgA,H3K27me3 PEAK_MEAN_sgA,geneID_sgB,ATAC PEAK_MEAN_sgB,H3K27ac PEAK_MEAN_sgB,H3K4me3 PEAK_MEAN_sgB,H3K27me3 PEAK_MEAN_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom
MAST3,Up_Reg,ENSCCRG00000064186,2.75,1.12,4.78,0.28,ENSCCRG00000073827,1.25,0.18,0.32,0.35,1406.489751,2.488916328,0
thbs3a,Up_Reg,ENSCCRG00000015651,0.59,0.3,0.27,0.22,ENSCCRG00000016317,3.56,0.59,0.29,0.28,168.8977043,2.480836118,0.000002026012322
lnpa,Up_Reg,ENSCCRG00000040872,1.79,0.94,2.24,0.32,ENSCCRG00000036763,1.07,0.37,1.28,0.47,879.8569629,2.475721745,0
pla2g4aa,Up_Reg,ENSCCRG00000024484,0.71,0.96,2.27,0.16,ENSCCRG00000032323,0.97,0.75,1.17,0.23,358.3079847,2.339570893,3.84E-09
,Up_Reg,ENSCCRG00000048766,2.72,0.75,1.12,0.38,ENSCCRG00000036236,2,0.65,1.07,0.16,582.1114752,2.330810314,1.07E-10
cdc42bpb,No_Change,ENSCCRG00000012664,3.47,0.89,2.84,0.3,ENSCCRG00000000493,1.64,1.63,4.43,0.42,1925.082941,-0.0008960508385,0.9987302593
rab3db,No_Change,ENSCCRG00000049533,1.96,0.44,1.02,0.32,ENSCCRG00000049596,0.75,0.23,0.16,0.24,289.1494152,-0.001299816627,0.9991105738
mphosph8,No_Change,ENSCCRG00000026397,4.1,0.97,3.3,0.52,ENSCCRG00000032192,7.82,1.24,4.1,0.24,2151.913107,-0.002474239948,0.985937233
CLINT1,No_Change,ENSCCRG00000031700,3.19,0.54,2.29,0.32,ENSCCRG00000030822,1.97,0.57,3.13,0.19,1621.173434,-0.002699619964,0.9877117668
,No_Change,ENSCCRG00000029521,0.91,0.53,0.89,0.56,ENSCCRG00000055213,1.16,1.57,2.83,0.38,155.7322248,-0.003033332488,0.9953480996
